iter	Passed	Remaining
0	2	2969
1	4	2224
2	5	1808
3	6	1575
4	7	1451
5	8	1353
6	8	1273
7	9	1225
8	10	1195
9	11	1161
10	12	1129
11	13	1107
12	14	1087
13	15	1065
14	17	1137
15	19	1194
16	20	1182
17	21	1169
18	22	1180
19	23	1166
20	24	1155
21	25	1154
22	27	1147
23	27	1136
24	28	1127
25	29	1123
26	31	1120
27	32	1121
28	33	1117
29	34	1120
30	35	1112
31	36	1115
32	37	1110
33	38	1104
34	39	1098
35	40	1093
36	41	1085
37	42	1081
38	43	1082
39	45	1080
40	46	1078
41	47	1075
42	48	1071
43	49	1068
44	50	1064
45	51	1063
46	52	1059
47	53	1054
48	54	1050
49	55	1047
50	55	1040
51	56	1037
52	58	1041
53	59	1041
54	60	1038
55	61	1034
56	62	1031
57	63	1030
58	64	1031
59	65	1027
60	66	1023
61	67	1019
62	68	1014
63	69	1012
64	70	1011
65	71	1008
66	72	1005
67	73	1003
68	74	1000
69	75	997
70	75	993
71	76	990
72	77	988
73	78	985
74	79	982
75	80	978
76	81	977
77	82	975
78	83	972
79	84	969
80	85	965
81	86	963
82	86	957
83	87	957
84	88	954
85	89	953
86	90	952
87	91	949
88	92	947
89	93	945
90	94	942
91	95	942
92	96	939
93	97	937
94	98	935
95	99	933
96	99	930
97	100	928
98	101	926
99	102	923
100	103	921
101	104	920
102	105	919
103	106	918
104	107	916
105	108	914
106	109	911
107	110	909
108	111	907
109	111	905
110	113	905
111	113	903
112	114	901
113	115	899
114	116	897
115	117	894
116	118	890
117	118	889
118	120	889
119	121	887
120	122	887
121	122	883
122	123	882
123	124	881
124	125	880
125	126	879
126	127	876
127	128	874
128	129	873
129	130	871
130	131	869
131	131	867
132	132	865
133	133	865
134	134	864
135	135	863
136	136	862
137	137	861
138	138	860
139	139	859
140	140	858
141	141	855
142	142	854
143	143	853
144	144	852
145	145	852
146	146	850
147	147	848
148	148	847
149	149	847
150	150	847
151	151	846
152	152	845
153	153	844
154	154	843
155	155	842
156	156	841
157	157	839
158	158	838
159	159	837
160	159	833
161	161	832
162	161	831
163	162	829
164	163	829
165	164	828
166	165	827
167	166	826
168	167	824
169	168	823
170	169	821
171	170	819
172	171	817
173	171	816
174	172	814
175	173	813
176	174	812
177	175	810
178	176	809
179	177	808
180	178	807
181	179	806
182	180	805
183	181	804
184	182	802
185	183	801
186	184	799
187	184	798
188	185	797
189	187	797
190	188	796
191	188	795
192	189	793
193	190	792
194	191	791
195	192	790
196	193	789
197	194	788
198	195	788
199	197	788
200	198	788
201	199	787
202	200	786
203	201	784
204	202	783
205	203	783
206	204	782
207	205	781
208	206	780
209	207	779
210	208	780
211	209	780
212	210	779
213	211	777
214	212	776
215	213	775
216	214	774
217	215	772
218	216	772
219	217	771
220	218	770
221	219	768
222	220	767
223	221	766
224	222	766
225	223	766
226	225	766
227	225	764
228	226	763
229	227	762
230	228	760
231	229	759
232	230	759
233	231	758
234	232	757
235	233	756
236	234	755
237	235	754
238	237	754
239	238	753
240	239	753
241	240	752
242	241	751
243	242	750
244	243	749
245	244	748
246	245	747
247	246	746
248	246	744
249	247	743
250	248	742
251	249	741
252	250	740
253	251	739
254	252	738
255	253	737
256	254	736
257	255	735
258	256	734
259	257	733
260	258	733
261	259	732
262	260	731
263	261	729
264	262	728
265	263	727
266	265	728
267	269	735
268	270	734
269	271	735
270	273	735
271	274	734
272	275	733
273	276	732
274	277	731
275	278	730
276	279	730
277	281	730
278	283	731
279	284	731
280	285	731
281	287	730
